STATE_CODE,STATE_NAME,LGA_CODE,LGA_NAME
22,OSUN,464,OBOKUN
22,OSUN,465,ORIADE
22,OSUN,466,ILESHA EAST
22,OSUN,467,ATAKUMOSA WEST
22,OSUN,468,ILESHA WEST
22,OSUN,469,EDE NORTH
22,OSUN,470,EDE SOUTH
22,OSUN,471,EJIGBO
22,OSUN,472,OLA OLUWA
22,OSUN,473,IWO
22,OSUN,474,AYEDIRE
22,OSUN,475,IREWOLE
22,OSUN,476,ISOKAN
22,OSUN,477,AIYEDAADE
22,OSUN,478,IFE NORTH
22,OSUN,479,IFE CENTRAL
22,OSUN,480,IFE EAST
22,OSUN,481,ATAKUNMOSA EAST
22,OSUN,482,IFE SOUTH
23,EKITI,483,MOBA
23,EKITI,484,ILEJEMEJE
23,EKITI,485,OYE
23,EKITI,486,IKOLE
23,EKITI,487,EKITI-EAST
23,EKITI,488,GBONYIN
23,EKITI,489,ADO EKITI
23,EKITI,490,IREPODUN/IFELODUN
23,EKITI,491,IDO_OSI
23,EKITI,492,IJERO
23,EKITI,493,EKITI WEST
23,EKITI,494,EFON
23,EKITI,495,EKITI SOUTH WEST
23,EKITI,496,IKERE
23,EKITI,497,ISE ORUN
23,EKITI,498,EMURE
24,ONDO,499,AKOKO NORTH WEST
24,ONDO,500,AKOKO NORTH EAST
24,ONDO,501,AKOKO SOUTH EAST
24,ONDO,502,AKOKO SOUTH WEST
24,ONDO,503,OSE
24,ONDO,504,OWO
24,ONDO,505,AKURE NORTH
24,ONDO,506,AKURE SOUTH
24,ONDO,507,IFEDORE
24,ONDO,508,ILE OLUJI/OKEIGBO
24,ONDO,509,ONDO WEST
24,ONDO,510,ONDO EAST
24,ONDO,511,IDANRE
24,ONDO,512,ODIGBO
24,ONDO,513,OKITIPUPA
24,ONDO,514,IRELE
24,ONDO,515,ESE-ODO
24,ONDO,516,ILAJE
25,EDO,517,AKOKO-EDO
25,EDO,518,ETSAKO EAST
25,EDO,519,ETSAKO CENTRAL
25,EDO,520,ETSAKO WEST
25,EDO,521,OWAN EAST
25,EDO,522,OWAN WEST
25,EDO,523,ESAN WEST
25,EDO,524,ESAN CENTRAL
25,EDO,525,ESAN NORTH-EAST
25,EDO,526,ESAN SOUTH-EAST
25,EDO,527,IGUEBEN
25,EDO,528,UHUNMWONDE
25,EDO,529,OVIA NORTH-EAST
25,EDO,530,OVIA SOUTH-WEST
25,EDO,531,EGOR
25,EDO,532,OREDO
25,EDO,533,IKPOBA-OKHA
25,EDO,534,ORHIONMWON
26,ANAMBRA,535,ANAMBRA WEST
26,ANAMBRA,536,AYAMELUM
26,ANAMBRA,537,AWKA NORTH
26,ANAMBRA,538,ANAMBRA EAST
26,ANAMBRA,539,OYI
26,ANAMBRA,540,DUNUKOFIA
26,ANAMBRA,541,NJIKOKA
26,ANAMBRA,542,AWKA SOUTH
26,ANAMBRA,543,ORUMBA NORTH
26,ANAMBRA,544,ANAOCHA
26,ANAMBRA,545,IDEMILI NORTH
26,ANAMBRA,546,ONITSHA NORTH
26,ANAMBRA,547,ONITSHA SOUTH
26,ANAMBRA,548,OGBARU
26,ANAMBRA,549,IDEMILI SOUTH
26,ANAMBRA,550,NNEWI NORTH
26,ANAMBRA,551,EKWUSIGO
26,ANAMBRA,552,IHIALA
26,ANAMBRA,553,NNEWI SOUTH
26,ANAMBRA,554,AGUATA
26,ANAMBRA,555,ORUMBA SOUTH
27,ENUGU,556,IGBOEZE NORTH
27,ENUGU,557,IGBO EZE SOUTH
27,ENUGU,558,UDENU
27,ENUGU,559,ISI UZO
27,ENUGU,560,IGBO ETITI
27,ENUGU,561,NSUKKA
27,ENUGU,562,UZO UWANI
27,ENUGU,563,EZEAGU
27,ENUGU,564,UDI
27,ENUGU,565,ENUGU EAST
27,ENUGU,566,NKANU EAST
27,ENUGU,567,ENUGU NORTH
27,ENUGU,568,ENUGU SOUTH
27,ENUGU,569,NKANU WEST
27,ENUGU,570,ANINRI
27,ENUGU,571,AWGU
27,ENUGU,572,OJI RIVER
28,EBONYI,573,ISHIELU
28,EBONYI,574,OHAUKWU
28,EBONYI,575,EBONYI
28,EBONYI,576,IZZI
28,EBONYI,577,ABAKALIKI
28,EBONYI,578,EZZA NORTH
28,EBONYI,579,EZZA SOUTH
28,EBONYI,580,IKWO
28,EBONYI,581,ONICHA
28,EBONYI,582,OHAOZARA
28,EBONYI,583,AFIKPO NORTH
28,EBONYI,584,AFIKPO SOUTH
28,EBONYI,585,IVO
29,CROSS RIVER,586,YALA
29,CROSS RIVER,587,BEKWARRA
29,CROSS RIVER,588,OGOJA
29,CROSS RIVER,589,OBUDU
29,CROSS RIVER,590,OBANLIKU
29,CROSS RIVER,591,BOKI
29,CROSS RIVER,592,ETUNG
29,CROSS RIVER,593,IKOM
29,CROSS RIVER,594,OBUBRA
29,CROSS RIVER,595,YAKURR
29,CROSS RIVER,596,ABI
29,CROSS RIVER,597,BIASE
29,CROSS RIVER,598,AKAMKPA
29,CROSS RIVER,599,ODUKPANI
29,CROSS RIVER,600,CALABAR SOUTH
29,CROSS RIVER,601,CALABAR MUNICIPAL
29,CROSS RIVER,602,AKPABUYO
29,CROSS RIVER,603,BAKASSI
30,AKWA IBOM,604,INI
30,AKWA IBOM,605,OBOT AKARA
30,AKWA IBOM,606,IKOT EKPENE
30,AKWA IBOM,607,IKONO
30,AKWA IBOM,608,IBIONO IBOM
30,AKWA IBOM,609,ITU
30,AKWA IBOM,610,URUAN
30,AKWA IBOM,611,UYO
30,AKWA IBOM,612,ABAK
30,AKWA IBOM,613,ESSIEN UDIM
30,AKWA IBOM,614,IKA
30,AKWA IBOM,615,ETIM EKPO
30,AKWA IBOM,616,UKANAFUN
30,AKWA IBOM,617,ORUK-ANAM
30,AKWA IBOM,618,MKPAT-ENIN
30,AKWA IBOM,619,ETINAN
30,AKWA IBOM,620,NSIT-IBOM
30,AKWA IBOM,621,IBESIKPO ASUTAN
30,AKWA IBOM,622,NSIT-ATAI
30,AKWA IBOM,623,OKOBO
30,AKWA IBOM,624,ORON
30,AKWA IBOM,625,UDUNG UKO
30,AKWA IBOM,626,MBO
30,AKWA IBOM,627,URUE-OFFONG/ORUKO
30,AKWA IBOM,628,ESIT EKET
30,AKWA IBOM,629,NSIT UBIUM
30,AKWA IBOM,630,EKET
30,AKWA IBOM,631,ONNA
30,AKWA IBOM,632,IBENO
30,AKWA IBOM,633,EASTERN OBOLO
30,AKWA IBOM,634,IKOT ABASI
31,ABIA,635,UMU NNEOCHI
31,ABIA,636,ISUIKWUATO
31,ABIA,637,BENDE
31,ABIA,638,OHAFIA
31,ABIA,639,AROCHUKWU
31,ABIA,640,UMUAHIA NORTH
31,ABIA,641,UMUAHIA SOUTH
31,ABIA,642,IKWUANO
31,ABIA,643,ISIALA NGWA NORTH
31,ABIA,644,ISIALA NGWA SOUTH
31,ABIA,645,OBINGWA
31,ABIA,646,ABA NORTH
31,ABIA,647,OSISIOMA
31,ABIA,648,ABA SOUTH
31,ABIA,649,UGWUNAGBO
31,ABIA,650,UKWA EAST
31,ABIA,651,UKWA WEST
32,IMO,652,IDEATO NORTH
32,IMO,653,OKIGWE
32,IMO,654,ONUIMO
32,IMO,655,IDEATO SOUTH
32,IMO,656,ORLU
32,IMO,657,ORSU
32,IMO,658,ORU EAST
32,IMO,659,ORU WEST
32,IMO,660,OGUTA
32,IMO,661,MBAITOLI
32,IMO,662,NJABA
32,IMO,663,ISU
32,IMO,664,NKWERRE
32,IMO,665,NWANGELE
32,IMO,666,ISIALA MBANO
32,IMO,667,EHIME MBANO
32,IMO,668,IHITTE UBOMA
32,IMO,669,OBOWO
32,IMO,670,EZINIHITTE MBAISE
32,IMO,671,AHIAZU-MBAISE
32,IMO,672,ABOH-MBAISE
32,IMO,673,IKEDURU
32,IMO,674,OWERRI NORTH
32,IMO,675,OWERRI MUNICIPAL
32,IMO,676,OWERRI WEST
32,IMO,677,OHAJI_EGBEMA
32,IMO,678,NGOR OKPALA
33,RIVERS,679,OGBA/EGBEMA/NDONI
33,RIVERS,680,AHOADA EAST
33,RIVERS,681,AHOADA WEST
33,RIVERS,682,ABUA-ODUAL
33,RIVERS,683,AKUKU-TORU
33,RIVERS,684,DEGEMA
33,RIVERS,685,ASARI-TORU
33,RIVERS,686,EMOHUA
33,RIVERS,687,IKWERRE
33,RIVERS,688,ETCHE
33,RIVERS,689,OMUMA
33,RIVERS,690,OBIO-AKPOR
33,RIVERS,691,PORT-HARCOURT
33,RIVERS,692,OKRIKA
